"business_product_id";"information_group";"discriminator";"changed_time";"deleted";"name";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"distance";"promotional_region";"x";"y";"lat";"long";"green_key_labeled";"accessibility_label";"closing_period";"next_year_closing_period";"phone1";"phone2";"phone3";"email";"website";"facebook";"twitter";"flickr";"instagram";"product_description";"link_to_accessibility_website";"accessibility_description";"entrance";"route_and_levels";"common_toilet";"experience_desc";"extra_facilities";"food_allergy";"allergies";"deaf";"auditive";"mental";"motor";"blind";"visual";"autism";"food_allergy_desc";"allergies_desc";"deaf_desc";"auditive_desc";"mental_desc";"motor_desc";"blind_desc";"visual_desc";"autism_desc"
"298474";"POINT_OF_INTEREST";"NATURE";"Dec 20 2017 12:32:01:883PM";"0";"Bayernwald	";"Voormezelestraat";"2";"";"8950";"Heuvelland";"Heuvelland";"";"westhoek";"44765.68";"166465.64";"50.79913826403313";"2.875974971170545";"";"";"";"";"";"";"";"";"http://www.heuvelland.be/toerisme/850-www/232-www/299-www.html";"";"";"";"";"De onneembare Duitse loopgravenstellingen op de heuvel in Wijtschate speelden een belangrijke rol bij de Slag om Mesen. De Fransen noemden de omgeving Bayernwald.";"";"Rolstoelgebruikers kunnen hulp gebruiken bij het openen van de toegangspoort. Ook op de paden in grind kan een duwtje soms handig zijn. Hier en daar kan je van bovenaf in de loopgraven kijken. De site, waar momenteel nog toegankelijkheidswerken bezig zijn, krijgt nog een grondige toegankelijkheidschecking.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"276589";"POINT_OF_INTEREST";"NATURE";"Aug 24 2018 07:27:01:557AM";"0";"Connecterra";"Zetellaan";"54";"";"3630";"Meeswijk";"Maasmechelen";"";"maasland";"243662.4";"188749.22";"51.00136110624643";"5.703121095572295";"";"BASIC";"";"";"+32 89 44 04 44";"";"";"info@connecterra.be";"www.connecterra.be";"";"";"";"";"Welkom op de plek waar meer dan een kwart eeuw geleden de steenkoolmijn van Eisden nog op volle toeren draaide. Vandaag de dag ziet het landschap er helemaal anders uit en kan je er genieten van een verrassend landschap van ‘bergen en meren’ met spectaculaire panorama’s. Laat je in Connecterra verrassen door een bijzonder stukje natuur in Vlaanderen. Je vindt nabij ook het toegankelijke Zandloperpad (op ca. 5 km afstand, in het wandelgebied Mechelse Heide), een speeltuin en een bezoekerscentrum met café. Door middel van een halfverharding in grind kan je te Connecterra heen en terug naar de waterplas langs een pad van 1,5 km.";"";"Welkom op de plek waar meer dan een kwart eeuw geleden de steenkoolmijn van Eisden nog op volle toeren draaide. Vandaag de dag ziet het landschap er helemaal anders uit en kan je er genieten van een verrassend landschap van ‘bergen en meren’ met spectaculaire panorama’s. Laat je in Connecterra verrassen door een bijzonder stukje natuur in Vlaanderen. Je vindt nabij ook het toegankelijke Zandloperpad (op ca. 5 km afstand, in het wandelgebied Mechelse Heide), een speeltuin en een bezoekerscentrum met café. Door middel van een halfverharding in grind kan je te Connecterra heen en terug naar de waterplas langs een pad van 1,5 km.";"Bij het openen van de zware deuren van het bezoekerscentrum kan je hulp nodig hebben. Verder is het goed toegankelijk. ";"";"Er is een goed toegankelijk toilet, al hangt de opklapbare beugel wat hoog.";"";"";"0";"0";"0";"0";"0";"1";"0";"1";"0";"";"";"";"";"";"";"";"De in de signalisatie gebruikte teksten hebben standaard een goed contrast met de achtergrond en zijn vrij groot qua font.";""
"298498";"POINT_OF_INTEREST";"NATURE";"Mar 15 2018 02:06:01:367PM";"0";"COZMIX - Volkssterrenwacht";"Zeeweg";"96";"";"8200";"Sint-Andries";"Brugge";"";"kunststadBrugge";"65137.08413405593";"208030.1397430962";"51.176568";"3.153968";"";"";"";"";"+32 (0)50 39 05 66";"";"";"info@cozmix.be";"https://www.cozmix.be";"";"";"";"";"Je vindt het bezoekerscentrum Cozmix ten zuiden van Brugge in het 19de-eeuwse landhuis van het prachtige domein Beisbroek. Deze groene locatie is zowel voor groepen als individuele bezoekers toegankelijk. Een bezoek aan Cozmix is een echte belevenis! De volkssterrenwacht en het planetarium bevinden zich op de 2de verdieping van het kasteel. Bovenop de observatietoren staat een koepel. Je kan er de zon, de maan en de planeten van dichtbij ontdekken met de grote telescoop. In Cozmix kan je ook bij slecht weer en overdag de sterren in volle pracht bewonderen. In het fantastische planetarium worden immers meer dan 7000 sterren geprojecteerd op de binnenkant van de koepel. Niet enkel de sterrenhemel wordt afgebeeld, spectaculaire videobeelden voeren je samen met de muziek mee op een overweldigende tocht doorheen de mysteries van het heelal. Zo kan je meevliegen over het Marsoppervlak en genieten van een schitterend zicht op de ringen van Staturnus. Verder kan je een bezoek brengen aan de multimediale en interactieve tentoonstelling. Je komt er alles te weten over onze Melkweg, planeten en kometen, de toekomst van het heelal en de evolutie van sterren. Een wandeling maken langs het 'kunstzinnig' planetenpad behoort ook tot de mogelijkheden. Daar worden de planeten voorgesteld door beelden van hun mythologische tegenhangers en in het zonnestelsel doorheen het bos volledig op schaal weergegeven.";"";"Door de ietswat steile helling naar de ingang, kan je een duwtje in de rug goed gebruiken. Binnen zijn er twee nauwere deuropeningen. Een plateaulift brengt je naar het planetarium, waar je kunt genieten van de prachtige sterrenhemel. Je ziet hoe de zon zich in de loop van een jaar schijnbaar verplaatst, het steeds veranderende gezicht van de maan en de eeuwige dans van de planeten tussen de fonkelende sterren. De telescopen in het observatorium zijn niet bereikbaar met de rolstoel, maar de beelden die via de telescopen zichtbaar zijn kunnen op de planetariumkoepel geprojecteerd worden zodat iedereen er kan van genieten. Er is ook een goed toegankelijk toilet aanwezig, al is er weinig ruimte voor de deur. Via een ringleiding kan je ook met een auditieve handicap de commentaar en muziek bij de voorstellingen perfect volgen. Heb je een visuele handicap, dan kan je een beroep doen op een medewerker die je alles in geuren en kleuren toelicht.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"298596";"POINT_OF_INTEREST";"NATURE";"Mar 15 2018 02:01:01:170PM";"0";"De Kruidtuin";"Kapucijnenvoer";"30";"";"3000";"Leuven";"Leuven";"";"kunststadLeuven";"172693.46";"174216.74";"50.87786184884318";"4.691198939801051";"";"";"";"";"";"";"";"";"http://www.leuven.be";"";"";"";"";"Deze centraal gelegen tuin waar vaak studenten aan het studeren zijn, is de oudste van heel België. In 1738 werd deze tuin aangelegd voor studenten geneeskunde en hij wordt nog steeds gebruikt voor wetenschappelijk onderzoek. Het ware doel van deze tuin is om er heerlijk rustig te genieten. Alles aan deze tuin is prettig: de bomen, de bloemen, het ontwerp, de fonteinen en de banken.";"";"Vlot toegankelijk, voor wandelaars en rolstoelen. Honden en fietsen zijn niet toegelaten. Er is een toegankelijk toilet.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"276527";"POINT_OF_INTEREST";"NATURE";"Sep  5 2018 07:10:02:210AM";"0";"Domeinbos Heverleebos + Meerdaalwoud";"";"";"";"3050";"Oud-Heverlee";"Oud-Heverlee";"";"groeneGordel";"171493.24";"168852.71";"50.829699318725";"4.67383202953668";"";"";"";"";"+32 16 38 89 80";"";"";"meerdaal.anb@lne.vlaanderen.be";"www.natuurenbos.be/meerdaalwoud-heverleebos";"";"";"";"";"Een fikse boswandeling loopt op wieltjes in het Meerdaalwoud en Heverleebos. Hobbelige bospaden zijn geen sinecure met kinderkoets of rolstoel maar in dit magnifieke boscomplex lukt het wel. Het tweelingbos Meerdaalwoud en Heverleebos  is een machtig loofbos van 2000 hectare groot. Een groene long op amper drie kilometer van de Grote Markt in Leuven. Een wandel- en jogparadijs ook waar je uren kan verdwalen in het groen. Niets voor ouders met kinderwagens of mensen in een rolstoel, denk je dan. Maar hier kan je voluit rollen door de bossen.

Aan De Speelberg – het epicentrum van bosbeleving – vertrekt een boeiend pad van vier kilometer dat je met de rolstoel of buggy gemakkelijk kan bewandelen. Laat hier je auto en ga de Weertse Dreef in die het bos netjes doormidden snijdt. Na een kilometer draai je de Nethensebaan in.

Kijk niet te verbaasd als enkele norse soldaten je nauwlettend in het oog houden, want achter de omheining ligt militair domein. De putten en wallen die je ziet zijn er niet natuurlijk gekomen: tot 1976 schrikte het leger het bosleven geregeld op door oude munitie gecontroleerd tot ontploffing te brengen. Vandaag zijn ze een bron van leven. Een rolstoelvriendelijk pad leidt je naar een leerrijke observatiepost van waar je dit landschap nog beter ziet.  Kom zeker ook eens in de lente, dan maak je veel kans de kudde wilde Konikpaarden te zien als ze zich komen drenken aan de poel vlak bij de observatiepost. Ook de bloeiende brem is dan betoverend.

De kaarsrechte Everzwijnbaddreef  en de Herculesdreef brengen je terug aan de Speelberg. De geknipte plek om na te genieten met een picknick terwijl je de bloeiende heide bewondert. Je kan er zelfs de barbecue aansteken, en terwijl het vlees gaart kunnen de kinderen het speelbos verkennen. Zelfs aan de viervoeter is gedacht, die kan vrijuit hollen in de hondenlosloopzone.

Arboretumpad

Aan de andere kant van het boscomplex kan je met de rolstoel ook het arboretum verkennen. Het 1,2 kilometer lange arboretumpad slingert zich tussen meer dan 300 verschillende struiken en bomen. Dit levende museum werd in 1930 aangelegd om te onderzoeken hoe uitheemse bomen hier groeien. Ze zijn hier heel graag, weten we nu, net als elke bezoeker.";"";"Een fikse boswandeling loopt op wieltjes in het Meerdaalwoud en Heverleebos. Hobbelige bospaden zijn geen sinecure met kinderkoets of rolstoel maar in dit magnifieke boscomplex lukt het wel. Het tweelingbos Meerdaalwoud en Heverleebos  is een machtig loofbos van 2000 hectare groot. Een groene long op amper drie kilometer van de Grote Markt in Leuven. Een wandel- en jogparadijs ook waar je uren kan verdwalen in het groen. Niets voor ouders met kinderwagens of mensen in een rolstoel, denk je dan. Maar hier kan je voluit rollen door de bossen.

Aan De Speelberg – het epicentrum van bosbeleving – vertrekt een boeiend pad van vier kilometer dat je met de rolstoel of buggy gemakkelijk kan bewandelen. Laat hier je auto en ga de Weertse Dreef in die het bos netjes doormidden snijdt. Na een kilometer draai je de Nethensebaan in.

Kijk niet te verbaasd als enkele norse soldaten je nauwlettend in het oog houden, want achter de omheining ligt militair domein. De putten en wallen die je ziet zijn er niet natuurlijk gekomen: tot 1976 schrikte het leger het bosleven geregeld op door oude munitie gecontroleerd tot ontploffing te brengen. Vandaag zijn ze een bron van leven. Een rolstoelvriendelijk pad leidt je naar een leerrijke observatiepost van waar je dit landschap nog beter ziet.  Kom zeker ook eens in de lente, dan maak je veel kans de kudde wilde Konikpaarden te zien als ze zich komen drenken aan de poel vlak bij de observatiepost. Ook de bloeiende brem is dan betoverend.

De kaarsrechte Everzwijnbaddreef  en de Herculesdreef brengen je terug aan de Speelberg. De geknipte plek om na te genieten met een picknick terwijl je de bloeiende heide bewondert. Je kan er zelfs de barbecue aansteken, en terwijl het vlees gaart kunnen de kinderen het speelbos verkennen. Zelfs aan de viervoeter is gedacht, die kan vrijuit hollen in de hondenlosloopzone.

Arboretumpad

Aan de andere kant van het boscomplex kan je met de rolstoel ook het arboretum verkennen. Het 1,2 kilometer lange arboretumpad slingert zich tussen meer dan 300 verschillende struiken en bomen. Dit levende museum werd in 1930 aangelegd om te onderzoeken hoe uitheemse bomen hier groeien. Ze zijn hier heel graag, weten we nu, net als elke bezoeker.

";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276525";"POINT_OF_INTEREST";"NATURE";"Aug 28 2018 07:46:01:447AM";"0";"Gentbrugse Meersen";"";"";"";"9050";"Gentbrugge";"Gent";"";"kunststadGent";"107726.42";"190766.74";"51.0255512508328";"3.76619848238342";"";"";"";"";"";"";"";"info@wgbm.be";"http://www.wgbm.be/";"";"";"";"";"De Gentbrugse Meersen is één van de vier groenpolen die in Gent worden ingericht. Groenpolen zijn grote  park- en natuurgebieden. De Gentbrugse Meersen is ongeveer 240 hectare groot.

Het gebied ligt binnen de brede bocht van de Schelde en de bebouwing van Gentbrugge. Dicht bij de bebouwing ligt de klemtoon op recreatie, sport en spel. Dichter bij de Schelde voert de natuur  de boventoon met nieuwe bossen, moerraszones en bloemenrijke graslanden. Je kan er onder andere genieten van een rolstoel- en buggyvriendelijke wandeling. De aanwezige bankjes bieden ook voldoende rustpunten onderweg.

De stad Gent ontwikkelde samen met de Gentse start-up OJOO tevens een gratis app waarmee je de Gentbrugse Meersen op eigen houtje kan verkennen. Deze is te downloaden op de site van Stad Gent.";"";"De Gentbrugse Meersen is één van de vier groenpolen die in Gent worden ingericht. Groenpolen zijn grote  park- en natuurgebieden. De Gentbrugse Meersen is ongeveer 240 hectare groot.

Het gebied ligt binnen de brede bocht van de Schelde en de bebouwing van Gentbrugge. Dicht bij de bebouwing ligt de klemtoon op recreatie, sport en spel. Dichter bij de Schelde voert de natuur  de boventoon met nieuwe bossen, moerraszones en bloemenrijke graslanden. Je kan er onder andere genieten van een rolstoel- en buggyvriendelijke wandeling. De aanwezige bankjes bieden ook voldoende rustpunten onderweg.

De stad Gent ontwikkelde samen met de Gentse start-up OJOO tevens een gratis app waarmee je de Gentbrugse Meersen op eigen houtje kan verkennen. Deze is te downloaden op de site van Stad Gent.";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"378736";"POINT_OF_INTEREST";"NATURE";"Jul 16 2018 11:24:06:983AM";"0";"Groen Waterke";"Ankerbrug";"";"";"2800";"Mechelen";"Mechelen";"";"kunststadMechelen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Het Groen Waterke is een van de vele idyllische plekjes van Mechelen. Het vlietje dankt zijn naam aan het wateroppervlak dat bedekt is met eendenkroos. Eigenlijk is het een overblijfsel van de vliet Melaan die hier niet overdekt of gedempt werd. Je voelt hier de vroegere rust in de stad. Je bent trouwens vlakbij de Refugie van de abdij van Sint-Truiden en de Refugie van de abdij van Tongerlo.";"Je bekijkt het Groen Waterke vanop de Ankerbrug, die goed toegankelijk is via de stoep.";"";"";"";"";"0";"0";"";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276761";"POINT_OF_INTEREST";"NATURE";"Aug 27 2018 07:28:02:960AM";"0";"Het Broek Blaasveld";"Het Broek";"1";"";"2830";"Willebroek";"Willebroek";"";"scheldeland";"151706.2";"194437.89";"51.0600719167126";"4.393106363818924";"";"";"";"";"+32 479 67 94 78";"";"";"hans.vanpraet@vlaanderen.be";"www.natuurenbos.be/activiteiten";"";"";"";"";"Dit domein beschikt over 2 wandelingen die je langs de mooiste hoekjes van het Broek brengen. 
Het Watersportpad (3,9 km) vertrekt aan de parkeerplaats aan de Broekstraat te Blaasveld-Willebroek en het Vierwielenpad (4 km) start aan de parkeerplaats van de Watersportbaan Hazewinkel aan de Beenhouwersstraat te Heindonk-Willebroek. Dit laatste pad is ingericht voor rolstoelgebruikers. Deze uitgestippelde wandelpaden gaan langs het centraal gelegen domein Scheyvaerts, waar sanitaire voorzieningen, picknickplaatsen, een blokhut (te gebruiken bij slecht weer) en een speelweide ter beschikking zijn.";"";"Dit domein beschikt over 2 wandelingen die je langs de mooiste hoekjes van het Broek brengen. 
Het Watersportpad (3,9 km) vertrekt aan de parkeerplaats aan de Broekstraat te Blaasveld-Willebroek en het Vierwielenpad (4 km) start aan de parkeerplaats van de Watersportbaan Hazewinkel aan de Beenhouwersstraat te Heindonk-Willebroek. Dit laatste pad is ingericht voor rolstoelgebruikers. Deze uitgestippelde wandelpaden gaan langs het centraal gelegen domein Scheyvaerts, waar sanitaire voorzieningen, picknickplaatsen, een blokhut (te gebruiken bij slecht weer) en een speelweide ter beschikking zijn.";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276720";"POINT_OF_INTEREST";"NATURE";"Aug 20 2018 11:26:01:277AM";"0";"Het Zwin Natuurpark en bezoekerscentrum";"GRAAF LEON LIPPENSDREEF";"8A";"";"8300";"Knokke-Heist";"Knokke-Heist";"";"kust";"79322.35929901549";"228073.4319194499";"51.358609";"3.35287";"";"BASIC";"";"";"+32 50 60 70 86";"";"";"info@zwin.be";"https://www.zwin.be";"";"";"";"";"Welkom in het nieuwe Zwin, de internationale luchthaven voor vogels. Hou je instapkaart klaar, de trekvogels nemen je mee naar een verre bestemming. Tijdens de boeiende vlucht leer je hen spelenderwijs kennen, zowel in de doe-tentoonstelling, doorheen het belevingsparcours in het park als in de Zwinvlakte. Een fascinerende reis voor het hele gezin.";"http://toevla.vlaanderen.be/publiek/nl/register/detail/5565/BEZCE_1";"Welkom in het nieuwe Zwin, de internationale luchthaven voor vogels. Hou je instapkaart klaar, de trekvogels nemen je mee naar een verre bestemming. Tijdens de boeiende vlucht leer je hen spelenderwijs kennen, zowel in de doe-tentoonstelling, doorheen het belevingsparcours in het park als in de Zwinvlakte. Een fascinerende reis voor het hele gezin.";"";" ";" ";"Het Zwin Natuur Park is toegankelijk voor rolstoelen en kinderwagens. Enkel de Zwinvlakte en een kleine zijweg in het Zwin Park zijn dit niet. Ook het onthaalcentrum werd ingericht op maat van rolstoelgebruikers. In de ooievaarstoren is er beneden een scherm waar je kan beleven wat er boven in de toren te zien is. De panoramatoren in het onthaalcentrum is bereikbaar mits assistentie. Hoogtepunten van de wandeling zijn de luisterhut en luisterduin. ";"Verderop, in het natuurgebied Zwinduinen en -polders, werd voor slechtzienden en blinden een aanbevolen route uitgestippeld in samenwerking met Westkans. Let op voor de dwarsbalken onderweg, die weliswaar worden aangekondigd in de audioguide en brochure. Een maquette stelt de Zwinstreek voor met de zee, slikken, schorren en polders.";"0";"0";"0";"0";"0";"1";"1";"1";"0";"";"";"";"";"";"";"Verderop, in het natuurgebied Zwinduinen en -polders, werd voor slechtzienden en blinden een aanbevolen route uitgestippeld in samenwerking met Westkans. Let op voor de dwarsbalken onderweg, die weliswaar worden aangekondigd in de audioguide en brochure. Een maquette stelt de Zwinstreek voor met de zee, slikken, schorren en polders.";"Verderop, in het natuurgebied Zwinduinen en -polders, werd voor slechtzienden en blinden een aanbevolen route uitgestippeld in samenwerking met Westkans. Let op voor de dwarsbalken onderweg, die weliswaar worden aangekondigd in de audioguide en brochure. Een maquette stelt de Zwinstreek voor met de zee, slikken, schorren en polders.";""
"276702";"POINT_OF_INTEREST";"NATURE";"Aug 28 2018 07:36:02:247AM";"0";"Japanse Tuin";"Gouverneur Verwilghensingel";"23";"";"3500";"Hasselt";"Hasselt";"";"haspengouw";"219581.05";"180895.62";"50.93416554985258";"5.358602875627245";"";"";"";"";"+32 11 23 52 00";"";"";"japansetuin@hasselt.be";"www.japansetuin.be";"";"";"";"";"De grootste (2,5 ha) authentieke Japanse Tuin van Europa.

Goed toegankelijk, maar op de wat steilere hellingen kan assistentie aangewezen zijn. De stapstenen aan de waterval zijn niet rolstoeltoegankelijk, maar er is een omweg voorzien. Er is een aangepast toilet. Aan de kassa zijn 2 rolstoelen beschikbaar die je op voorhand moet reserveren.

In 2017 bestaat de Japanse Tuin 25 jaar! Vier mee tijdens het Yokoso Festival, waarin de Japanse cultuur ook buiten de grenzen van de Tuin wordt gebracht. Meer informatie op www.yokosofestival.be .";"";"Picknicken onder de kersenbloesems, even mediteren bij de waterval of de vredesbel luiden? Of je nu op zoek bent naar rust of net naar een dag vol beleving: in de grootste (2,5 ha) authentieke Japanse Tuin van Europa kan het allemaal.";"";"Goed toegankelijk, maar op de wat steilere hellingen kan assistentie aangewezen zijn. De stapstenen aan de waterval zijn niet rolstoeltoegankelijk, maar er is een omweg voorzien. ";"Er is een aangepast toilet. ";"";"Aan de kassa zijn 2 rolstoelen beschikbaar die je op voorhand moet reserveren.";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
